Name,Sex,Event,Equipment,AgeClass,Division,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
PJ Mardesic,M,SBD,Wraps,24-34,M-OR,100,180,110,215,505,5,316.28,316.28,304.51,449.87,,,GPC-AUS,2016-10-02,Australia,ACT,Canberra Cup
Jamie Bradnam,M,SBD,Wraps,24-34,M-OR,100,170,110,225,505,6,308.46,308.46,296.53,433.24,,,GPC-AUS,2016-10-02,Australia,ACT,Canberra Cup
Nathaniel Williams,M,SBD,Single-ply,,Boys,59.8,90.72,58.97,113.4,263.08,7,230.65,230.65,225.07,319.75,Yes,,THSPA,2010-02-06,USA,TX,Oakridge Iron Championships
Alyson Shaw,F,SBD,Wraps,20-23,F-OR,60,110,70,117.5,297.5,1,346.65,346.65,306.55,538.48,,,GPC-AUS,2019-03-31,Australia,NSW,NSW Country Championships
Brenda Brown,F,SBD,Wraps,35-39,F-OR,60,67.5,37.5,85,190,3,214.05,214.05,189.16,328.58,,,GPC-AUS,2019-03-31,Australia,NSW,NSW Country Championships
Harry Rawlinson,M,SBD,Wraps,24-34,M-OR,125,200,125,240,565,4,325.93,325.93,311.26,443.78,,,GPC-AUS,2019-03-31,Australia,NSW,NSW Country Championships
Joseph Turner,M,D,Raw,,Amateur Open,100,,,256.28,256.28,1,157.41,157.41,151.38,568.20,Yes,,RPS,2016-01-24,USA,NJ,NA & NJ Championships
Kate Jones,F,SBD,Wraps,20-23,F-OR,90,90,50,130,270,1,239.37,239.37,209.09,412.94,,,GPC-AUS,2019-03-31,Australia,NSW,NSW Country Championships
Kyra Bird,F,SBD,Wraps,20-23,F-OR,60,100,65,115,280,2,320.95,324.16,283.72,500.20,,,GPC-AUS,2019-03-31,Australia,NSW,NSW Country Championships
Marc Wheeldon,M,BD,Raw,40-44,M-OR,125,,180,260,,DQ,,,,,,,GPC-AUS,2019-03-31,Australia,NSW,NSW Country Championships
Nat Lindsey,M,SBD,Wraps,13-15,M-OR,75,110,75,135,320,1,234.79,277.05,227.33,312.62,,,GPC-AUS,2019-03-31,Australia,NSW,NSW Country Championships
Travis Nash,M,SBD,Raw,24-34,Open,105,235,155,240,630,3,383.87,383.87,368.96,559.32,Yes,,PA,2017-10-01,Australia,NSW,City Strength HQ Open IV
Jessica Donnellan,F,B,Raw,24-34,FO-R,56,,55,,55,1,65.77,65.77,58.21,488.71,,,CAPO,2014-10-19,Australia,WA,Perth Big Bench
Vonty Bignell,F,SBD,Wraps,18-19,F-OR,67.5,115,50,112.5,277.5,1,284.74,301.83,251.21,464.58,,,GPC-AUS,2013-10-13,Australia,WA,Wild West Shootout
Elizabeth Baker,F,SBD,Raw,50-54,Open,47,75,45,105,225,1,307.99,348.03,275.12,443.21,Yes,,PA,2015-05-31,Australia,WA,Perth Open
Yianni Magoulies,M,SBD,Wraps,20-23,M-OR,75,220,125,230,575,1,430.90,435.21,417.52,642.91,,,GPC-AUS,2013-10-13,Australia,WA,Wild West Shootout
Darwin Sateerawanit,M,SBD,Wraps,18-19,M-OR,82.5,215,120,255,590,2,401.53,425.62,387.84,598.26,,,GPC-AUS,2013-10-13,Australia,WA,Wild West Shootout
William Brennan,M,SBD,Raw,20-23,Juniors,93,,,266,,DQ,,,,,Yes,,PA,2013-05-18,Australia,NSW,Singleton Strength Triathlon
Linus Urn,M,SBD,Wraps,20-23,M-OR,82.5,235,117.5,200,552.5,3,375.14,382.64,362.32,553.38,,,GPC-AUS,2013-10-13,Australia,WA,Wild West Shootout
Sean Gillespie,M,SBD,Single-ply,,Teen 16-17,75,,,,,DQ,,,,,,,USPF,1984-08-05,USA,IL,Teenage National Championships
Steve Govorko,M,SBD,Wraps,24-34,M-OR,110,210,150,260,620,2,364.97,364.97,349.63,517.25,,,GPC-AUS,2013-10-13,Australia,WA,Wild West Shootout
Rory Campbell,M,SBD,Raw,20-23,MO-R,82.5,160,122.5,217.5,500,11,341.35,341.35,329.74,495.84,,,CAPO,2012-05-27,Australia,WA,WA States
Ben Young,M,SBD,Wraps,20-23,M-OR,90,190,125,242.5,557.5,4,356.11,359.67,343.18,519.14,,,GPC-AUS,2013-10-13,Australia,WA,Wild West Shootout
Aaron Smith,M,SBD,Raw,,Amateur Open,125,172.37,122.47,215.46,510.29,1,292.56,292.56,279.05,386.43,Yes,,RPS,2018-04-14,USA,PA,PowerPalooza 20
Darren Joy,M,SBD,Wraps,24-34,MO-RP,82.5,160,100,180,440,3,309.57,309.57,299.33,441.10,,,CAPO,2012-10-16,Australia,WA,Wild West Shootout
Aaron Doyle,M,SBD,Wraps,40-44,M-1-CR,110,175,140,180,495,3,291.30,291.30,279.05,395.68,,,IrishPO,2018-03-24,Ireland,,National Powerlifting Championships
Ben Hoare,M,SBD,Wraps,24-34,M-OR,140+,225,100,245,570,1,315.86,315.86,298.54,394.50,,,GPC-AUS,2013-10-13,Australia,WA,Wild West Shootout
David Kaye,M,SBD,Wraps,50-54,M-OR,75,140,120,160,420,4,302.69,347.19,292.91,428.48,,,GPC-AUS,2013-10-13,Australia,WA,Wild West Shootout
Bernard Smits,M,SBD,Wraps,24-34,M-OR,90,145,95,180,420,8,268.13,268.13,258.39,369.91,,,GPC-AUS,2013-10-13,Australia,WA,Wild West Shootout
Peter Mclemon,M,SBD,Wraps,60-64,M-OR,90,130,100,160,390,9,259.04,360.85,250.01,355.82,,,GPC-AUS,2013-10-13,Australia,WA,Wild West Shootout
Aiden Mcgarity,M,SBD,Wraps,24-34,M-OR,90,250,130,250,630,2,404.98,404.98,390.38,602.55,,,GPC-AUS,2019-03-31,Australia,QLD,Mackay Qualifier
Amy Mcgarity,F,SBD,Wraps,24-34,F-OR,52,125,55,135,315,1,405.89,405.89,360.48,612.22,,,GPC-AUS,2019-03-31,Australia,QLD,Mackay Qualifier
Chantal Gow,F,SBD,Wraps,24-34,F-OR,75,220,105,210,535,1,513.37,513.37,451.83,863.86,,,GPC-AUS,2019-03-31,Australia,QLD,Mackay Qualifier
Charlie Boyd,M,SBD,Wraps,24-34,M-OR,90,175,102.5,205,482.5,6,311.84,311.84,300.66,444.76,,,GPC-AUS,2019-03-31,Australia,QLD,Mackay Qualifier
Clancy Conlon,F,SBD,Wraps,24-34,F-OR,60,100,57.5,130,287.5,2,327.78,327.78,289.73,512.60,,,GPC-AUS,2019-03-31,Australia,QLD,Mackay Qualifier
Josh Andrews,M,SBD,Wraps,24-34,Open,110,260.82,124.74,272.16,657.71,4,387.06,387.06,370.77,553.56,,,SPF,2016-04-09,USA,SC,Myrtle Beach Classic
Kahn Stephenson,M,SBD,Raw,20-23,Open,105,135,147.5,230,512.5,1,307.50,313.65,295.19,427.99,Yes,,PA,2017-03-04,Australia,QLD,NQ Open 1
Kate Hyslop,F,SBD,Wraps,35-39,F-OR,67.5,125,62.5,140,327.5,1,338.99,338.99,299.13,553.25,,,GPC-AUS,2019-03-31,Australia,QLD,Mackay Qualifier
LeRoy Vorster,M,SBD,Raw,24-34,Open,105,195,155,250,600,4,365.01,365.01,350.79,527.32,Yes,,PA,2015-09-12,Australia,QLD,NQ Open 3
Melissa Fletcher,F,SBD,Raw,,Open,59.8,72.57,45.36,104.33,222.26,14,252.39,252.39,223.07,389.90,,,MHSPLA,2015-03-01,USA,MI,State Championships
